code,description,height_m,height_ft_raw,lat,lon
AAV,PARK STREET,3.81,"12' 6""",51.335092,-0.747111
AAV,Mytchett Lake Road,4.4958,"14' 9""",51.281268,-0.723252
ABD,YNYSMEURIG ROAD,3.2766,"10' 9""",51.645517,-3.326753
ABE1,BARKSTON TO MARSTON ROAD,4.4196,"14' 6""",52.968626907,-0.649475426
ACR,GODMERSHAM,3.8862,"12' 9""",51.217529,0.959557
ACR,POPE STREET,4.4196,"14' 6""",51.2255977181176,0.970442210387093
ACR,Cottonton,3.8862,"12' 9""",51.329057,1.356195
AGY,AGY /25 - Newhall Road,4.3434,"14' 3""",53.400683,-1.437546
AJM1,HARTLEYS-RIVER DERWENT,4.7244,"15' 6""",53.057156,-1.482817
AJM1,HEAGE ROAD AMBERGATE SOUTH CURVE,3.8862,"12' 9""",53.058925,-1.481848
AJM1,POYSERS BRIDGE,2.8956,"9' 6""",53.0628642564389,-1.48317745918891
AJM1,CROMFORD VIADUCT ALSO OVER RIVER DERWENT (VOIDED STRUCTURE),4.3434,"14' 3""",53.1120777505822,-1.54811441798472
AJM1,BOAT HOUSE BRIDGE DALE ROAD (A6),4.572,"15' 0""",53.135089,-1.556542
ALC1,ASTON HALL RD,4.572,"15' 0""",52.506471,-1.873799
ALC1,SUMMER ROAD B4142,4.2672,"14' 0""",52.525687,-1.842966
ALC1,STATION RD,3.9624,"13' 0""",52.527857,-1.839991
ALC1,STATION RD,4.191,"13' 9""",52.545224363,-1.831470151
ALC1,MANOR RD,3.7592000000000003,"12' 4""",52.5614892131352,-1.82740168266917
ALC1,PARK RD,3.6576000000000004,"12' 0""",52.5638619621084,-1.82623457021636
ALC2,TAMWORTH RD A453,4.572,"15' 0""",52.572382,-1.818317
ALC2,LITTLE SUTTON LANE,4.1148,"13' 6""",52.575103,-1.821559
ALC2,BLAKE ST A4026,4.2672,"14' 0""",52.605223,-1.844832
ALC2,WATLING ST A5 (now unclassified road),4.2672,"14' 0""",52.656698,-1.837724
ALC2,BIRMINGHAM ROAD A5127,4.4958,"14' 9""",52.65999,-1.834098
ALC2,SHORTBUTTS  LANE,4.1148,"13' 6""",52.671571645,-1.830558443
ALC2,SUMMERFIELDS,4.191,"13' 9""",52.6747579123329,-1.8302356092484
ALC2,CHAPPELS ALSO CARRIES BJW3 BR 89. KNOWN AS IVANHOE RD.,3.6576000000000004,"12' 0""",52.67710806,-1.829303654
ANI1,WOODSIDE WORKS ROAD,3.7338,"12' 3""",57.172876011671804,-2.13197922101479
ANI1,BUCKSBURN VIADUCT,2.0066,"6' 7""",57.178484,-2.169605
ANI1,BANKHEAD ROAD,4.4196,"14' 6""",57.1858904,-2.180327146
ANI1,FARBURN ROAD,4.7244,"15' 6""",57.2013500909511,-2.18935524684493
ANI1,KIRKTON ROAD,4.1148,"13' 6""",57.216777,-2.20121
ANI1,B993 KEITH HALL ROAD,4.191,"13' 9""",57.275429,-2.366952
ANI1,INVERAMSAY TURNPIKE,4.4196,"14' 6""",57.319538,-2.442165
ANI1,CRAIGMILL,3.6576000000000004,"12' 0""",57.3195859587972,-2.50691799945376
ANI1,TORRIESBURN TURNPIKE (B9002),4.6482,"15' 3""",57.320359,-2.514409
ANI1,HUNTLY BY PASS,5.1054,"16' 9""",57.441161,-2.780918
ANI1,HUNTLY STATION ROAD,4.191,"13' 9""",57.4452655912591,-2.77491246803687
ANI1,ROTHIEMAY TURNPIKE,4.038600000000001,"13' 3""",57.501612,-2.78128
ANI1,DYKEHEAD,3.3528000000000002,"11' 0""",57.5092298696135,-2.79879329295585
ANI2,MOSS ROAD,3.6576000000000004,"12' 0""",57.634998,-3.247065
ANI2,CORTON ROAD,3.9624,"13' 0""",57.634603361,-3.241653114
ANI2,LHANBRYDE STATION BRIDGE,3.5814000000000004,"11' 9""",57.6331515082153,-3.2220577505628
ANI2,ORTON ROAD,4.572,"15' 0""",57.579928,-3.157407
ANI3,CAWDOR ROAD,3.81,"12' 6""",57.580417,-3.871361
ANI3,NEWTON PUBLIC ROAD,4.7244,"15' 6""",57.513355,-4.10166
ANI3,MILTON ROAD,3.9624,"13' 0""",57.4918667230868,-4.15989490651627
ANL,OLD OAK COMMON LANE - 1 SPAN,3.81,"12' 6""",51.5226213581973,-0.25207161807558
ANL,WESTGATE UNDERBRIDGE,3.5052000000000003,"11' 6""",51.531175687395,-0.298463253441792
ANL,ALPERTON LANE UNDERBRIDGE ,4.8006,"15' 9""",51.5328069861043,-0.307863054060829
